Wholesale broiler composite,OT,Retail-wholesale spread for broiler composite,date,Final_Search_4
0.0,100.91756,0.0,1983/1/1,This is the market report for January 1983. Wholesale broiler prices are very low. Wholesale prices remain stable at the moment. The retail-wholesale spread is very narrow. The spread between retail and wholesale prices is stable. These trends suggest industry-wide margin pressures. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,102.2133514,0.0,1983/2/1,This is the market report for February 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread has remained stable over the period. These trends suggest industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,103.0803168,0.0,1983/3/1,"This is the market report for March 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread for broilers is very narrow. The spread between retail and wholesale prices has remained stable. With such low and stable wholesale prices and a narrow spread, there's industry-wide margin pressure. Consumers are benefiting from low chicken prices at grocery stores."
0.0,101.621263,0.0,1983/4/1,This is the market report for April 1983. Wholesale broiler prices are very low. Wholesale prices remain stable. The retail-wholesale spread is very narrow. The spread has been consistent over the period. These trends indicate significant industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,103.1935616,0.0,1983/5/1,This is the market report for May 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread is stable over the period. These trends indicate significant industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,101.455072,0.0,1983/6/1,This is the market report for June 1983. Wholesale broiler prices are very low. Wholesale prices remain stable. The retail-wholesale spread is very narrow. The spread has been consistent over the period. These trends indicate significant industry-wide margin pressure. Consumers are likely benefiting from lower chicken prices at retail.
0.0,105.7291622,0.0,1983/7/1,This is the market report for July 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread has remained stable over the period. These trends suggest industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,106.9239986,0.0,1983/8/1,This is the market report for August 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread is stable over the period. These trends indicate industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,110.2481296,0.0,1983/9/1,This is the market report for September 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread has remained stable over the period. These trends suggest industry-wide margin pressure. Consumers are likely benefiting from lower retail prices for chicken products.
0.0,105.9618056,0.0,1983/10/1,This is the market report for October 1983. Wholesale broiler prices are very low. Wholesale prices are stable. The retail-wholesale spread is very narrow. The spread is consistent over the period. These trends indicate significant industry-wide margin pressure. Consumers are likely benefiting from lower chicken prices at retail.
